state,action,reward(average)
0|1|2|2|3,1,0.0
0|1|2|2|3,2,7.0
1|1|2|2|2,0,0.0
1|1|2|2|2,2,3.0
0|1|2|2|1,1,0.0
2|4|0|1|4,0,1.8498402555910542
2|4|0|1|4,1,2.0
0|8|2|2|1,2,11.0
0|8|2|2|1,1,0.0
2|2|0|0|4,0,2.9123711340206184
0|4|1|1|3,1,3.7651006711409396
0|4|1|1|3,2,2.0
1|7|0|0|5,2,0.8
1|7|0|0|5,0,4.224137931034483
1|1|1|2|5,0,0.0
1|1|1|2|5,2,2.522760646108664
0|1|1|2|4,2,2.642857142857143
2|4|1|1|3,0,0.9140625
2|4|1|1|3,1,3.710526315789474
0|5|1|1|2,2,1.0
0|5|1|1|2,1,3.5681818181818183
2|5|1|1|1,1,14.0
2|7|0|0|5,1,0.6612021857923497
2|7|0|0|5,0,4.826086956521739
1|8|0|0|4,2,0.0
1|8|0|0|4,0,11.0
0|3|2|2|5,1,1.0
0|3|2|2|5,2,3.7997356245869134
0|4|2|2|3,2,3.5991820040899793
0|4|2|2|3,1,0.5
1|2|0|0|4,2,0.6666666666666666
1|2|0|0|4,0,3.2045133991537376
2|2|0|0|3,1,0.0
1|2|0|0|2,0,5.0
0|7|2|2|1,1,0.0
0|7|2|2|1,2,12.0
2|7|1|1|1,1,12.0
2|7|1|1|1,0,0.0
1|5|2|2|4,2,3.712529550827423
1|5|2|2|4,0,0.7
0|5|2|2|2,1,0.8888888888888888
1|5|2|2|1,2,8.5
2|8|1|1|3,1,11.0
2|8|1|1|3,0,0.0
2|5|1|1|5,0,0.720173535791757
2|5|1|1|5,1,4.326666666666667
1|6|2|2|5,2,5.265625
1|6|2|2|5,0,0.6
1|4|0|0|5,2,1.125
1|4|0|0|5,0,3.3497506234413965
2|3|1|0|5,0,2.0
2|3|1|0|5,1,2.889502762430939
0|3|1|1|5,1,3.6099324975891998
0|3|1|1|5,2,0.9090909090909091
0|6|1|1|2,2,0.0
0|6|1|1|2,1,7.338235294117647
2|6|1|1|1,1,6.888888888888889
0|2|2|2|4,2,3.258852258852259
0|2|2|2|4,1,1.2222222222222223
0|4|1|1|2,1,3.1875
0|4|1|1|2,2,0.0
1|6|0|0|2,2,0.75
1|6|0|0|2,0,5.2269076305220885
1|1|1|0|5,0,1.5377855887521967
1|1|1|0|5,2,1.2
1|3|2|2|4,0,0.7777777777777778
1|3|2|2|4,2,3.155619596541787
1|2|2|2|4,2,2.758762886597938
1|2|2|2|4,0,0.3333333333333333
0|6|2|2|2,2,2.41044776119403
0|6|2|2|2,1,0.5
0|2|1|2|5,2,2.388952819332566
0|2|1|2|5,1,2.3333333333333335
2|4|1|0|4,1,2.856269113149847
2|4|1|0|4,0,2.0
1|3|0|0|4,0,3.103852596314908
1|3|0|0|4,2,0.75
2|6|1|1|5,0,0.7068965517241379
2|6|1|1|5,1,4.8452655889145495
1|4|1|2|4,0,1.0
0|5|1|2|3,2,2.0
0|5|1|2|3,1,1.75
1|2|1|2|5,2,2.3435582822085887
1|2|1|2|5,0,1.0
0|4|2|2|5,2,3.794779477947795
0|4|2|2|5,1,1.0
2|4|1|1|4,1,3.4383783783783786
2|4|1|1|4,0,0.8461538461538461
2|6|1|0|3,1,2.0
2|6|1|0|3,0,1.0
2|3|1|1|5,0,0.8
2|3|1|1|5,1,3.7274954072259643
0|5|2|2|3,1,0.8132911392405063
0|5|2|2|3,2,3.0190217391304346
1|8|2|2|4,0,0.0
1|8|2|2|4,2,11.0
2|3|0|0|3,0,3.3793103448275863
0|2|0|2|5,1,1.01875
2|2|1|1|4,1,2.8693181818181817
2|2|1|1|4,0,1.0
0|4|2|1|5,1,2.0
0|4|1|2|3,2,2.0
2|4|1|1|5,0,1.0
2|4|1|1|5,1,3.8549874266554904
0|4|2|2|2,1,0.0
0|4|2|2|2,2,4.0
1|4|2|2|1,2,15.0
1|4|2|0|4,2,2.848563968668407
1|4|2|0|4,0,2.0
0|2|1|2|4,1,2.240875912408759
0|2|1|2|4,2,2.37125748502994
2|6|1|0|2,0,1.0
0|7|1|1|1,1,5.4
0|7|1|1|1,2,1.0
1|1|0|2|4,0,0.0
1|1|0|2|4,2,2.3333333333333335
0|1|0|2|3,2,2.0
2|3|0|1|2,0,2.0
0|5|1|1|1,1,8.909090909090908
1|1|0|0|4,0,3.588235294117647
2|2|2|1|5,1,2.052325581395349
2|2|2|1|5,0,1.0
0|3|1|2|5,1,2.3493333333333335
0|3|1|2|5,2,2.25
1|2|1|0|4,0,2.1165644171779143
2|5|0|1|4,0,1.7604166666666667
2|5|0|1|4,1,2.0
0|2|0|1|5,2,0.5
0|2|0|1|5,1,2.401929260450161
0|2|0|1|3,2,0.0
2|2|0|1|2,0,0.0
0|2|0|1|1,1,3.0
0|6|0|1|4,2,1.0
0|6|0|1|4,1,1.0
2|7|1|1|4,0,0.0
2|7|1|1|4,1,12.0
0|2|2|1|5,1,2.2857142857142856
0|2|2|1|5,2,2.6043010752688174
2|3|2|0|5,1,1.0
0|5|1|1|5,1,3.454700854700855
0|5|1|1|5,2,1.0
0|4|1|2|5,2,2.0
0|3|2|1|4,1,2.0
0|3|2|1|4,2,1.0
0|6|1|1|5,1,4.543010752688172
0|6|1|1|5,2,0.8333333333333334
2|4|0|0|1,1,1.0
1|4|0|2|3,0,1.7681159420289856
1|4|0|2|3,2,2.0
0|4|2|1|4,2,2.8328611898016995
0|4|2|1|4,1,2.0
2|8|0|0|5,0,11.0
2|8|0|0|5,1,0.0
2|3|0|1|5,0,1.9594594594594594
2|3|0|1|5,1,2.328054298642534
2|2|2|1|4,1,2.1158536585365852
1|4|2|0|3,2,2.8732394366197185
1|3|2|0|5,0,2.0
1|3|2|0|5,2,2.8693181818181817
2|5|0|1|3,0,1.7043478260869565
2|5|0|1|3,1,2.0
2|5|0|0|2,0,5.006849315068493
1|2|1|2|4,0,0.9506172839506173
1|2|1|2|4,2,2.380952380952381
0|2|1|2|3,2,3.0
2|5|1|1|2,0,0.375
2|5|1|1|2,1,3.0
1|2|1|0|5,2,1.2407407407407407
0|2|0|2|4,1,1.0
0|2|0|2|4,2,2.3532934131736525
