state,action,q_value
2|1|3|3,1,3.002418081332699
2|1|3|3,3,5.042130652252219
2|1|3|3,6,3.178750936920811
2|1|3|3,4,3.401347070574301
2|1|3|3,5,3.4078543650270943
0|1|3|3,2,2.99354381270346
0|1|3|3,6,3.180491600381337
0|1|3|3,3,4.713272622190286
0|1|3|3,4,3.229107706795805
0|1|3|3,5,3.240941063940649
0|1|3|3,1,2.979707854711159
0|1|3|3,7,3.4631715062596093
7|1|3|3,0,2.945690001954666
7|1|3|3,3,5.150989993422433
7|1|3|3,1,2.969936539848246
7|1|3|3,5,3.350353798865876
7|1|3|3,6,3.398624189378281
7|1|3|3,2,2.98949606757299
7|1|3|3,4,3.2539360406389943
6|3|3|3,4,2.7003192312779865
6|3|3|3,0,1.7805497767542273
6|3|3|3,1,1.6190185813632243
6|3|3|3,2,1.281262948273837
6|3|3|3,5,2.592946609540231
6|3|3|3,7,1.4903626733166053
6|3|3|3,3,3.9683148232152403
4|3|3|3,5,2.5414479291805727
4|3|3|3,0,1.408804904370696
4|3|3|3,7,2.434632033405595
4|3|3|3,3,4.48626541483875
4|3|3|3,2,1.7963618494393694
4|3|3|3,6,2.726818218107877
4|3|3|3,1,2.1980490183610812
0|1|1|1,6,2.9234959115029007
0|1|1|1,3,2.918507479301639
0|1|1|1,5,2.8433115963088986
0|1|1|1,4,3.062048025269499
0|1|1|1,7,3.1808896911558002
0|1|1|1,1,4.6946329716683834
0|1|1|1,2,3.067426260152894
6|1|1|1,2,3.2306996859825374
6|1|1|1,5,3.0792609620064333
6|1|1|1,1,4.4119746200396825
6|1|1|1,7,3.1735141882114153
6|1|1|1,3,3.140491718331047
6|1|1|1,4,3.1714156940229055
6|1|1|1,0,2.834693966137377
2|1|1|1,7,3.135092773785976
2|1|1|1,5,3.0754959844798826
2|1|1|1,4,3.034415211553737
2|1|1|1,6,3.119799370292857
2|1|1|1,0,2.848405480225835
2|1|1|1,3,3.275380824923767
2|1|1|1,1,4.772002196384633
7|1|1|1,0,2.8531414871858036
7|1|1|1,5,3.018825924787457
7|1|1|1,1,4.774881306805724
7|1|1|1,4,3.057862905572211
7|1|1|1,6,3.005609964271634
7|1|1|1,3,3.0663766858167074
7|1|1|1,2,3.068767491632997
3|1|1|1,5,3.011422524335779
3|1|1|1,0,2.891956621506429
3|1|1|1,1,4.812137689797954
3|1|1|1,2,2.9266922884950537
3|1|1|1,7,3.1599464467212246
3|1|1|1,6,2.9772199687684537
3|1|1|1,4,3.29970960529444
5|2|1|1,1,4.388095998539008
5|2|1|1,7,3.0736300444792146
5|2|1|1,2,2.185913251501876
5|2|1|1,4,2.653048818432744
5|2|1|1,3,2.7907997322737614
5|2|1|1,6,3.034833950382248
5|2|1|1,0,2.5089194341163035
5|2|0|1,1,3.574093236694928
5|2|0|1,4,2.066996167068956
5|2|0|1,6,2.2092281046730076
5|2|0|1,3,1.6980484192335215
5|2|0|1,7,2.218497449457351
5|2|0|1,0,1.7323758756511531
5|2|0|1,2,2.167117069458816
1|3|0|2,0,0.2009989933555376
1|3|0|2,5,1.1797314257880027
1|3|0|2,6,1.7142763305610873
1|3|0|2,3,0.8556046840738726
1|3|0|2,7,1.6770245002687951
1|3|0|2,2,2.316377961002803
1|3|0|2,4,1.6710112311535945
0|3|0|2,4,1.298008934096135
0|3|0|2,1,0.6810184778640584
0|3|0|2,3,1.604970489860641
0|3|0|2,5,1.555693132156482
0|3|0|2,7,1.3544077376249888
0|3|0|2,6,1.2148456486110013
0|3|0|2,2,2.5979605846474856
4|3|0|2,7,1.5382906335642095
4|3|0|2,6,1.402031383035924
4|3|0|2,3,0.7355494377677472
4|3|0|2,1,0.49217724356820625
4|3|0|2,5,0.9260902996946684
4|3|0|2,2,1.3126287993540249
4|3|0|2,0,0.8617014014283226
7|4|0|0,1,0.5375301877261605
7|4|0|0,5,0.22167346779716665
7|4|0|0,0,0.9341802540929445
7|4|0|0,3,0.37475804265180374
7|4|0|0,4,0.4482403598056982
7|4|0|0,6,1.1530676960055328
7|4|0|0,2,0.9617325818558781
1|4|0|0,4,1.2243969324625679
1|4|0|0,2,1.5035807418281393
1|4|0|0,7,1.3655793137329493
1|4|0|0,6,0.7990912158104836
1|4|0|0,0,2.180283791953318
1|4|0|0,3,0.6779357066100785
1|4|0|0,5,0.27516483273350445
4|4|0|0,1,0.07580816039023197
4|4|0|0,5,0.7989026454927517
4|4|0|0,3,0.13301429325453445
4|4|0|0,2,0.6488005751917705
4|4|0|0,6,0.9443235413846616
4|4|0|0,7,0.6496049736486956
4|4|0|0,0,2.675356477130308
4|1|3|3,1,3.0187722174446243
4|1|3|3,2,2.9903498051454274
4|1|3|3,5,3.3414647225439604
4|1|3|3,6,3.360583342459829
4|1|3|3,7,3.2783554384115114
4|1|3|3,0,2.8821545216879527
4|1|3|3,3,5.113610898204023
1|1|3|3,0,2.9882495920610674
1|1|3|3,6,3.448227106507467
1|1|3|3,3,5.1451072341682496
1|1|3|3,2,2.3486168938380487
1|1|3|3,7,3.161828796181244
1|1|3|3,4,2.7972045642396477
1|1|3|3,5,3.28018484088616
3|2|6|4,0,2.0856741082158767
3|2|6|4,4,3.998895482942682
3|2|6|4,1,1.5503100790550717
3|2|6|4,5,2.656571659105568
3|2|6|4,2,1.7303432896881077
3|2|6|4,6,3.4099027238787363
3|2|6|4,7,2.9416954843408365
0|2|6|4,6,3.24389039370013
0|2|6|4,7,2.0656921563289057
0|2|6|4,3,1.649045204039131
0|2|6|4,2,1.897250097141756
0|2|6|4,5,2.38147752758222
0|2|6|4,4,4.337197914048014
0|2|6|4,1,1.5337264236583636
6|3|7|3,0,-0.1389628257345772
6|3|7|3,3,3.495919191965181
6|3|7|3,1,0.7816595998418563
6|3|7|3,2,1.0360928251226533
6|3|7|3,5,1.1175500870606772
6|3|7|3,7,1.465707538239421
6|3|7|3,4,1.6140987509335663
0|3|7|3,7,2.4459220593058255
0|3|7|3,5,2.0588293098531505
0|3|7|3,3,3.758718183540816
0|3|7|3,6,2.1082858862154286
0|3|7|3,1,1.3733694858016972
0|3|7|3,2,1.5317531896656333
0|3|7|3,4,2.1427550371023427
5|1|3|1,7,3.0762556459829744
5|1|3|1,1,4.552990607000285
5|1|3|1,4,2.7440042843837165
5|1|3|1,6,2.768194513333137
5|1|3|1,3,3.707615140255863
5|1|3|1,2,2.9328103736550037
5|1|3|1,0,2.59348482542996
7|1|3|1,0,2.6426855138131193
7|1|3|1,4,2.923990278760477
7|1|3|1,1,4.636906057606076
7|1|3|1,6,2.736913299899625
7|1|3|1,3,3.3716158743129405
7|1|3|1,2,2.454046180196235
7|1|3|1,5,2.7568256850527226
0|1|3|1,4,2.9983149258573505
0|1|3|1,3,3.3139904313863764
0|1|3|1,6,2.650750973861205
0|1|3|1,2,2.782700893611366
0|1|3|1,5,2.9050485585204893
0|1|3|1,1,4.817194950412203
0|1|3|1,7,2.890751553213576
4|2|3|1,3,3.3411187616480165
4|2|3|1,0,2.1355812086934014
4|2|3|1,7,2.4519599220458206
4|2|3|1,6,2.4209857240548773
4|2|3|1,2,2.3128319352740947
4|2|3|1,5,2.5297942036181524
4|2|3|1,1,4.117519378470172
3|2|3|1,6,2.341901960102006
3|2|3|1,1,4.023347905499397
3|2|3|1,5,2.1248284687335506
3|2|3|1,2,2.2164012924230225
3|2|3|1,4,2.477403137445161
3|2|3|1,7,1.7370883531437908
3|2|3|1,0,1.80224870680418
6|2|3|1,5,2.3383897847885824
6|2|3|1,3,3.2158860300904726
6|2|3|1,2,2.541266506102503
6|2|3|1,0,1.845512102426353
6|2|3|1,4,2.511198592411892
6|2|3|1,1,4.191927318488195
6|2|3|1,7,2.4195763884792982
5|2|3|1,0,1.9487608401223553
5|2|3|1,4,2.4641849886555205
5|2|3|1,6,2.3858732821349697
5|2|3|1,1,3.9978178975414917
5|2|3|1,2,2.5075145461014614
5|2|3|1,7,2.7030324593253114
5|2|3|1,3,3.0505544863235388
3|1|3|1,7,2.6677793739299136
3|1|3|1,1,4.539346249218189
3|1|3|1,2,2.7801486395548047
3|1|3|1,0,2.4913639449706624
3|1|3|1,5,2.863901978120311
3|1|3|1,6,2.836035034739652
3|1|3|1,4,2.664969602617318
4|1|3|1,7,2.8211566003542323
4|1|3|1,6,2.8358732425822537
4|1|3|1,3,3.5450977198765043
4|1|3|1,1,4.696342904405979
4|1|3|1,5,2.812278244552407
4|1|3|1,0,2.6222773185713555
4|1|3|1,2,2.715257194870719
1|2|3|3,5,3.146901921031506
1|2|3|3,2,2.772324858603519
1|2|3|3,7,3.0582275326518626
1|2|3|3,4,3.1951261098993493
1|2|3|3,3,4.953692884341502
1|2|3|3,0,2.449048415947815
1|2|3|3,6,3.206209450480362
5|2|3|3,0,2.726435893662438
5|2|3|3,1,2.869737680648665
5|2|3|3,6,3.1099205015536624
5|2|3|3,4,2.7378093746660026
5|2|3|3,7,3.082762151047435
5|2|3|3,2,2.8367177439886087
5|2|3|3,3,4.491136726610773
5|1|2|2,7,3.2934793247392378
5|1|2|2,4,3.225393260747747
5|1|2|2,3,3.110549094768374
5|1|2|2,0,2.9435723279898856
5|1|2|2,1,2.8766463513555
5|1|2|2,2,4.805657009784715
5|1|2|2,6,3.1955850362858893
7|3|2|0,2,2.4695288759241656
7|3|2|0,4,0.8355284406234943
7|3|2|0,1,0.9211201117934236
7|3|2|0,6,1.511233273552015
7|3|2|0,3,1.0647461609385553
7|3|2|0,0,2.192338523808506
7|3|2|0,5,0.9484295632636615
2|4|6|6,6,2.0893566277323483
2|4|6|6,7,2.4053363327276744
2|4|6|6,5,2.2613646754089456
2|4|6|6,1,1.4180758006719874
2|4|6|6,3,2.4873448962723232
2|4|6|6,0,0.9808590425797583
2|4|6|6,4,2.5837308505895864
6|6|0|0,4,0.007618714055282687
6|6|0|0,7,0.8559137884250487
6|6|0|0,1,-1.0570061011821532
6|6|0|0,5,-0.8821122969226789
6|6|0|0,2,-0.3974528265211714
6|6|0|0,3,-0.5685838611190236
6|6|0|0,0,3.9357912856571966
4|6|0|0,3,0.5101390195624256
4|6|0|0,7,-0.5029791116785982
4|6|0|0,5,-0.29781921718500926
4|6|0|0,1,-1.677759387570404
4|6|0|0,0,0.8231943942230863
4|6|0|0,2,-1.7755915110104794
4|6|0|0,6,-0.3289830472186598
3|7|0|0,2,-0.6049843291949697
3|7|0|0,5,0.9699325982449146
3|7|0|0,7,-0.6405265037327567
3|7|0|0,0,4.138548989748658
3|7|0|0,4,2.0482358469576445
3|7|0|0,1,-0.5630778045579824
3|7|0|0,6,0.18707666812673118
3|1|0|0,0,4.6948763968635
3|1|0|0,7,2.303707013147525
3|1|0|0,2,3.0030131381245453
3|1|0|0,4,2.906429527376806
3|1|0|0,6,2.8851344077912473
3|1|0|0,5,3.0019836776439495
3|1|0|0,1,3.0348609086181413
0|6|2|2,1,-1.0794412248096643
0|6|2|2,2,1.8942914894289684
0|6|2|2,6,-0.5799041159422866
0|6|2|2,3,-0.8407202722642396
0|6|2|2,5,-0.6094764739732952
0|6|2|2,7,0.13575270346036666
0|6|2|2,4,-0.45877309077894635
1|6|2|2,6,-0.9512761435112312
1|6|2|2,3,-0.9467232020053891
1|6|2|2,2,2.079178583815568
1|6|2|2,7,-0.6409858120794829
1|6|2|2,4,-0.6399268640166627
1|6|2|2,5,0.4587962941138046
1|6|2|2,0,-2.1146191889403543
6|6|2|2,3,-1.7332926503488262
6|6|2|2,7,-0.32071415550645765
6|6|2|2,1,-0.619158869107983
6|6|2|2,0,-1.4068878315752942
6|6|2|2,2,1.7141352385895505
6|6|2|2,4,0.38506752617678963
6|6|2|2,5,0.3971764926656894
3|6|2|2,5,0.10022003136642145
3|6|2|2,0,-2.22853030376022
3|6|2|2,2,3.1767898857961696
3|6|2|2,4,-0.06767576708021265
3|6|2|2,1,-1.88072512402885
3|6|2|2,6,-0.9723662040833931
3|6|2|2,7,-0.040103706386343696
5|7|2|2,4,-0.3339095529402104
5|7|2|2,1,-2.202198687089472
5|7|2|2,0,-1.5550884505451648
5|7|2|2,2,3.7139261962588734
5|7|2|2,3,-2.4266126030371264
5|7|2|2,6,0.40856235263377644
5|7|2|2,7,0.8566303186942449
4|7|2|2,0,-1.6392575340573747
4|7|2|2,3,-0.3576450650037464
4|7|2|2,6,0.7751532266638406
4|7|2|2,5,0.42113170745687273
4|7|2|2,7,-0.2968828158172425
4|7|2|2,2,4.106999431915733
4|7|2|2,1,-1.7018231058014377
6|1|3|3,2,2.6037314397683073
6|1|3|3,0,2.7389157194499583
6|1|3|3,1,2.9877130814680948
6|1|3|3,7,3.380144724920201
6|1|3|3,5,3.3360686210625663
6|1|3|3,4,3.496706114096124
6|1|3|3,3,4.950949474782939
3|1|4|2,1,2.7042791570941085
3|1|4|2,5,2.784668233955983
3|1|4|2,0,2.680750905412145
3|1|4|2,6,2.8139648474519263
3|1|4|2,2,4.738102976402769
3|1|4|2,7,2.8512285063093925
3|1|4|2,4,3.5500178900681942
1|1|4|2,0,2.7040864745089666
1|1|4|2,3,2.888337685829156
1|1|4|2,6,3.09065228176028
1|1|4|2,4,3.080790321208568
1|1|4|2,7,2.8101485458927793
1|1|4|2,2,4.8228678059839325
1|1|4|2,5,2.8369610061321913
0|1|4|2,2,4.7910423204353485
0|1|4|2,1,2.6557554833784556
0|1|4|2,3,2.8619768420299025
0|1|4|2,6,2.8835320934842903
0|1|4|2,5,2.761158972549012
0|1|4|2,7,2.919662636820051
0|1|4|2,4,3.5946933175916183
2|2|4|0,5,2.688408355691582
2|2|4|0,6,2.3573980805072545
2|2|4|0,3,2.843308298574468
2|2|4|0,1,2.6793524627140983
2|2|4|0,4,3.588938860681394
2|2|4|0,0,4.268482864329829
2|2|4|0,7,2.4761359887338013
5|3|4|0,2,1.7000823607484434
5|3|4|0,1,1.5566384177112953
5|3|4|0,3,1.339729209456612
5|3|4|0,7,1.4944103091613248
5|3|4|0,4,2.4754936755497328
5|3|4|0,0,3.7462827084281676
5|3|4|0,6,1.522734000396752
2|3|4|0,6,1.0758090909761073
2|3|4|0,0,2.591548127206835
2|3|4|0,5,2.4036975354486723
2|3|4|0,4,3.072940415891471
2|3|4|0,3,1.2311684144555584
2|3|4|0,1,2.050955446057779
2|3|4|0,7,2.206536458510069
6|3|4|0,4,1.9625311164689039
6|3|4|0,2,1.6820090165956645
6|3|4|0,1,1.3843648375107374
6|3|4|0,3,1.2326490445725582
6|3|4|0,7,1.9669592688668713
6|3|4|0,5,1.8881506418001925
6|3|4|0,0,3.3484133888866014
7|1|0|1,5,3.0734284668088696
7|1|0|1,3,2.7285703505886656
7|1|0|1,0,2.3563914786496327
7|1|0|1,6,2.2984682392396105
7|1|0|1,1,4.2473560178856244
7|1|0|1,2,2.752645651364038
7|1|0|1,4,2.9114143431910757
5|1|0|1,1,4.299807704766078
5|1|0|1,2,2.878084803150121
5|1|0|1,7,2.8470047888147016
5|1|0|1,6,2.5922175934391163
5|1|0|1,4,2.6512497117084735
5|1|0|1,3,2.5127009447783575
5|1|0|1,0,2.3438955280724123
1|2|0|0,5,2.7217316709891
1|2|0|0,3,2.8521495677012663
1|2|0|0,0,4.332180960109549
1|2|0|0,6,2.82978458721329
1|2|0|0,2,2.6614249284195868
1|2|0|0,4,2.7758641722332165
1|2|0|0,7,2.8601394612778748
5|2|0|0,4,2.614000493552142
5|2|0|0,7,2.8385425672375915
5|2|0|0,6,2.3418197799277354
5|2|0|0,2,2.6150678889227845
5|2|0|0,0,3.8943346849019944
5|2|0|0,1,2.6622323301525754
5|2|0|0,3,2.638924221914537
