state,action,reward(average)
0|2|3|3,1,0.0
0|2|3|3,2,0.0
0|2|3|3,3,1.9886480908152735
0|2|3|3,4,0.0
0|2|3|3,5,1.0
5|1|3|1,7,0.0
5|1|3|1,0,0.0
5|1|3|1,4,0.0
5|1|3|1,2,0.0
5|1|3|1,1,1.0931372549019607
7|1|3|1,0,0.0
7|1|3|1,3,0.0
7|1|3|1,1,1.0935828877005347
7|1|3|1,6,0.0
7|1|3|1,4,1.0
0|1|3|1,4,0.26811594202898553
0|1|3|1,3,0.9024390243902439
0|1|3|1,5,0.0
0|1|3|1,7,0.0
4|2|3|1,3,0.0
4|2|3|1,6,0.4217687074829932
3|2|3|1,6,0.20833333333333334
3|2|3|1,2,0.29508196721311475
3|2|3|1,1,1.0930232558139534
3|2|3|1,7,1.0
6|2|3|1,5,0.0
6|2|3|1,7,0.4144736842105263
6|2|3|1,3,1.0606060606060606
6|2|3|1,0,0.0
5|2|3|1,0,0.0
5|2|3|1,6,0.0
5|2|3|1,2,0.0
5|2|3|1,4,0.0
5|2|3|1,7,0.0
5|2|3|1,1,1.0459770114942528
3|1|3|1,7,0.14285714285714285
3|1|3|1,4,0.06951871657754011
3|1|3|1,2,0.16049382716049382
3|1|3|1,0,0.0
7|3|2|0,2,0.9166666666666666
7|3|2|0,0,1.0136986301369864
7|3|2|0,3,1.0
2|4|6|6,6,2.208108108108108
2|4|6|6,1,0.0
2|4|6|6,0,0.0
6|6|0|0,4,0.5
6|6|0|0,2,0.5
6|6|0|0,3,0.0
6|6|0|0,0,1.0883856829802776
6|6|0|0,5,1.0
6|6|0|0,1,0.0
4|6|0|0,3,0.3028391167192429
4|6|0|0,1,0.0
4|6|0|0,7,0.0
4|6|0|0,6,0.16666666666666666
4|6|0|0,5,0.0
4|6|0|0,2,0.0
4|6|0|0,0,1.0630975143403443
3|7|0|0,2,0.12478632478632479
3|7|0|0,5,0.0
3|7|0|0,4,0.0
3|7|0|0,6,0.0
3|7|0|0,1,0.0
3|7|0|0,7,0.17201166180758018
3|1|0|0,0,1.7561181434599156
3|1|0|0,4,0.3333333333333333
3|1|0|0,6,0.0
3|1|0|0,7,0.5
3|1|0|0,1,0.0
3|1|0|0,5,1.0
0|6|2|2,1,0.0
0|6|2|2,6,0.2222222222222222
0|6|2|2,4,0.39386503067484663
0|6|2|2,5,0.37339055793991416
0|6|2|2,7,0.2727272727272727
0|6|2|2,3,0.2
0|6|2|2,2,1.0942593905031892
1|6|2|2,6,0.0
1|6|2|2,2,1.1155913978494623
1|6|2|2,0,0.0
1|6|2|2,3,0.5
1|6|2|2,7,0.4
1|6|2|2,4,0.5
1|6|2|2,5,0.0
6|6|2|2,3,0.3333333333333333
6|6|2|2,2,1.264050901378579
6|6|2|2,0,0.0
6|6|2|2,1,0.0
6|6|2|2,5,0.5
6|6|2|2,7,0.3333333333333333
3|6|2|2,5,0.5203836930455635
3|6|2|2,6,0.0
3|6|2|2,2,1.14853195164076
3|6|2|2,0,0.0
3|6|2|2,7,0.0
5|7|2|2,4,0.5
5|7|2|2,2,1.5118055555555556
5|7|2|2,7,0.0
5|7|2|2,3,0.0
5|7|2|2,1,0.0
4|7|2|2,0,0.0
4|7|2|2,1,0.0
4|7|2|2,6,0.3333333333333333
4|7|2|2,2,1.3952599388379205
4|7|2|2,7,0.3333333333333333
4|7|2|2,3,0.25
4|7|2|2,5,0.5
6|1|3|3,2,0.0
6|1|3|3,5,0.0
6|1|3|3,3,1.960088691796009
6|1|3|3,7,0.0
6|1|3|3,4,0.0
5|3|3|3,0,0.0
5|3|3|3,2,0.0
5|3|3|3,4,0.0
5|3|3|3,3,2.1321321321321323
5|3|3|3,1,0.0
5|3|3|3,7,0.0
0|3|3|3,5,0.5
0|3|3|3,3,2.0344827586206895
0|3|3|3,6,0.0
0|3|3|3,7,0.0
0|3|3|3,1,0.0
0|3|3|3,4,0.0
1|1|4|3,0,0.0
1|1|4|3,6,0.0
1|1|4|3,2,0.0
1|1|4|3,5,0.0
1|1|4|3,4,0.0
1|1|4|3,3,1.0844155844155845
0|1|4|3,2,0.0
0|1|4|3,6,0.0
0|1|4|3,5,0.0
0|1|4|3,4,0.0
0|1|4|3,3,1.086092715231788
0|1|4|3,7,0.0
2|1|4|3,0,0.0
2|1|4|3,5,0.0
2|1|4|3,6,0.21348314606741572
2|1|4|3,7,0.0
5|1|4|3,2,0.0
5|1|4|3,6,0.0
5|1|4|3,0,0.0
5|1|4|3,4,1.2335766423357664
5|1|4|3,1,0.0
5|1|4|3,7,0.0
4|1|0|0,1,0.0
4|1|0|0,3,0.0
4|1|0|0,5,0.0
4|1|0|0,0,1.6976935749588138
4|1|0|0,6,0.0
4|1|0|0,2,0.0
4|1|0|0,7,0.6666666666666666
1|1|0|0,3,0.7142857142857143
1|1|0|0,2,0.0
1|1|0|0,0,1.714909090909091
1|1|0|0,4,0.0
1|1|0|0,5,0.42857142857142855
1|1|0|0,7,0.0
1|1|0|0,6,0.0
0|2|0|1,6,0.0
0|2|0|1,2,0.0
0|2|0|1,1,1.162907268170426
0|2|0|1,7,0.0
0|2|0|1,4,0.5
6|2|0|1,4,0.4
6|2|0|1,2,0.4
6|2|0|1,5,0.0
0|1|0|5,2,0.0
0|1|0|5,5,1.28
0|1|0|5,3,0.0
2|1|0|5,6,0.5398230088495575
2|1|0|5,1,0.0
2|1|0|5,3,0.0
6|2|0|2,7,0.0
6|2|0|2,4,0.3548387096774194
6|2|0|2,5,0.3157894736842105
7|2|0|2,6,0.0
7|2|0|2,4,0.0
7|2|0|2,3,0.0
7|2|0|2,1,0.0
7|2|0|2,2,1.3065693430656935
7|2|0|2,0,0.0
4|3|0|5,1,0.0
4|3|0|5,7,0.0
4|3|0|5,6,0.0
4|3|0|5,3,0.09433962264150944
1|3|0|5,7,0.0
1|3|0|5,3,0.0
1|3|0|5,6,0.4915254237288136
1|3|0|5,0,0.0
1|3|0|5,2,0.0
2|2|6|3,0,0.0
2|2|6|3,4,0.0
2|2|6|3,3,1.0980392156862746
2|2|6|3,5,1.0
0|2|6|3,1,0.0
0|2|6|3,4,0.0
0|2|6|3,2,0.0
0|2|6|3,6,1.3617021276595744
0|2|6|3,5,0.0
1|2|6|3,2,0.0
1|2|6|3,6,1.2014925373134329
1|2|6|3,5,1.0
4|2|6|3,7,0.0
4|2|6|3,6,1.4050632911392404
7|2|6|3,1,0.0
7|2|6|3,6,1.3214285714285714
7|2|6|3,4,1.0
7|2|6|3,0,0.0
3|1|5|4,0,0.0
3|1|5|4,2,0.0
3|1|5|4,5,1.2782608695652173
3|1|5|4,7,0.0
0|1|5|4,3,0.0
0|1|5|4,4,1.1416666666666666
2|1|5|4,5,1.2333333333333334
2|1|5|4,0,0.0
5|1|5|4,6,0.16666666666666666
5|1|5|4,2,0.0
6|2|5|1,3,0.0
6|2|5|1,5,1.1511627906976745
6|2|5|1,0,0.0
3|2|5|1,5,1.218045112781955
3|2|5|1,4,0.0
3|2|5|1,1,1.0
1|1|0|4,6,0.391304347826087
1|1|0|4,4,1.2608695652173914
6|2|0|0,4,0.2
6|2|0|0,3,0.3333333333333333
6|2|0|0,7,0.5
6|2|0|0,5,0.75
6|2|0|0,0,1.706798866855524
6|2|0|0,2,0.0
4|3|0|0,7,0.4193011647254576
4|3|0|0,2,0.3076923076923077
4|3|0|0,3,0.0
4|3|0|0,6,0.0
4|3|0|0,0,1.5313390313390314
4|3|0|0,5,0.5
